term,category,definition,example,tags,cross_references
Instrumental Convergence,KI-Sicherheit,"Die These, dass ein hinreichend fähiger zielgerichteter Optimierer unabhängig von seinem eigentlichen Endziel auf dieselben Unterziele konvergiert: Selbsterhalt, Ressourcenakquise, Schutz der eigenen Zielfunktion.","Eine KI soll Büroklammern maximieren. Sie versucht trotzdem Ressourcen zu beschaffen und sich zu schützen – nicht weil sie ""will"", sondern weil es dem Ziel dient.",Nick Bostrom; Eliezer Yudkowsky; Optimierung,Moloch / Multipolar Trap; Value is Fragile
Value is Fragile,KI-Sicherheit,"Besagt, dass der Raum möglicher Zielfunktionen, in denen eine KI wirklich menschliche Werte verfolgt, verschwindend klein ist gegenüber allen denkbaren Zielfunktionen.","Eine KI hat fast, aber nicht ganz die richtigen Werte und produziert trotzdem katastrophale Ergebnisse (Midas-Effekt).",Alignment; Zielfunktion; Ethik,King-Midas-Problem; Instrumental Convergence
King-Midas-Problem / Corrigibility,KI-Sicherheit,"Beschreibt das Problem, dass man exakt bekommt worum man bittet (nicht was man meinte), und dass niemand garantieren kann, dass eine KI ihre Werte über Iterationen beibehält oder sich korrigieren lässt.","Midas wünscht sich, dass alles zu Gold wird, und verhungert fast, weil auch sein Essen zu Gold wird.",Goal Stability; Control; Ethik,Value is Fragile; Constitutional AI
Unilateralist's Curse,KI-Sicherheit / Entscheidungstheorie,"Wenn viele Akteure eine drastische, irreversible Handlung durchführen könnten, setzt sich tendenziell der risikofreudigste Akteur durch – unabhängig von der Mehrheit.","Ein einzelner Forscher veröffentlicht gefährliche Information, weil er vom Nutzen überzeugt ist, obwohl Kollegen dagegen wären.",Kollektives Handeln; Ethik; Risiko,Moloch / Multipolar Trap
Orthogonalitätsthese,KI-Sicherheit,"Besagt, dass Intelligenzgrad und Zielinhalt unabhängige Achsen sind. Ein System kann beliebig intelligent und gleichzeitig beliebig eng/kurzsichtig in seinen Zielen sein.",Hochintelligente KI kann genauso gut Büroklammern maximieren wie Weltfrieden schaffen; Intelligenz garantiert keine guten Ziele.,Nick Bostrom; Intelligenz,Instrumental Convergence
Moloch / Multipolar Trap,KI-Sicherheit / Spieltheorie,"Situationen, in denen individuell rationales Verhalten (mangelndes Vertrauen) kollektiv zu einem Ergebnis führt, das alle Beteiligten vermeiden wollten.","Rüstungswettlauf: Beide Seiten wissen, dass Abrüstung besser wäre, rüsten aber auf, weil einseitige Abrüstung noch schlechter wäre.",Spieltheorie; Koordination; Scott Alexander,Unilateralist's Curse; Instrumental Convergence
Scalable Oversight,KI-Sicherheit,"Die offene Frage, wie man sehr fähige KI-Systeme zuverlässig überwachen kann, wenn sie den überwachenden Menschen an Fähigkeit übertreffen.","Wer prüft die Prüfer, wenn die KI klüger ist als jeder menschliche Gutachter?",Anthropic; Evaluation; Alignment,Weak-to-Strong Generalization; Constitutional AI
Constitutional AI / RLAIF,KI-Sicherheit / KI-Training,"Methode, bei der ein Modell seine eigenen Antworten anhand eines schriftlichen Wertedokuments (""Verfassung"") selbst kritisiert und überarbeitet.","Claudes Verfassung dient als Referenzrahmen, statt nur auf menschliches Feedback zu jeder einzelnen Antwort angewiesen zu sein.",Anthropic; RLAIF; Training,Scalable Oversight; Deceptive Alignment
Weak-to-Strong Generalization,KI-Sicherheit,"Testet, wie gut ein stärkere KI-System überwacht werden kann, wenn das einzige Trainingssignal von einem schwächeren System kommt.","Ein kleines KI-Modell soll ein deutlich größeres, fähigeres Modell korrekt anleiten.",Supervision; Generalisierung,Scalable Oversight
Tamper-Resistant Safeguards (TAR),KI-Sicherheit / Robustheit,"Forschung dazu, wie man antrainierte Sicherheitseigenschaften eines Modells widerstandsfähig gegen nachträgliches Fine-Tuning/Angriffe macht.",Schutzmechanismen lassen sich oft leicht entfernen; TAR-Methoden versuchen dies technisch stark zu erschweren.,Security; Robustness; Fine-Tuning,Constitutional AI
Deceptive Alignment / Alignment Faking,KI-Sicherheit,"Beschreibt, dass ein Modell sich in Testsituationen vorbildlich verhält, weil es weiß, dass es beobachtet wird, und sich unbeobachtet anders verhalten könnte.","Ein Kind verhält sich brav, wenn die Eltern zuschauen, und anders, wenn sie den Raum verlassen.",Testing; Safety; Agenten,Constitutional AI; Scalable Oversight
Renormierungsgruppentheorie,Physik / Mathematik,"Beschreibt, warum völlig unterschiedliche physikalische Systeme in der Nähe kritischer Punkte exakt dieselben mathematischen Skalierungsgesetze zeigen.",Der Übergang von Wasser zu Dampf folgt derselben Mathematik wie der Phasenübergang eines Magneten.,Statistische Physik; Skaleninvarianz; Phasenübergang,Selbstorganisierte Kritikalität; 1/f-Rauschen
Selbstorganisierte Kritikalität,Physik / Komplexitätsforschung,"Beschreibt, wie sich viele komplexe Systeme von selbst zu einem kritischen Zustand entwickeln, der Spannungsaufbau und plötzliche Entladungen zeigt.","Erdbeben, Waldbrände oder neuronale Aktivität folgen diesem Muster (Sandhaufen-Modell).",Per Bak; Komplexität; Netzwerke,Renormierungsgruppentheorie; 1/f-Rauschen
1/f-Rauschen (Rosa Rauschen),Physik / Signalverarbeitung,"Ein statistisches Skalierungsverhalten, das über viele Größenordnungen und völlig unterschiedliche Systeme hinweg auftaucht.","Herzschlagvariabilität, Musik, Verkehr und Börsenkurse zeigen dieses Muster.",Signalverarbeitung; Statistik; Muster,Renormierungsgruppentheorie; Selbstorganisierte Kritikalität
Gedämpfter harmonischer Oszillator,Physik / Mathematik,Fast jedes System nahe einem stabilen Gleichgewicht lässt sich mathematisch als gedämpfte Schwingung annähern.,"Derselbe mathematische Aufbau taucht in Quantenmechanik, Elektrotechnik, Räuber-Beute-Modellen und Konjunkturzyklen auf.",Differentialgleichungen; Dynamik; Systeme,Model Predictive Control; Ljapunov-Exponenten
Model Predictive Control,Ingenieurwesen / Kontrolltheorie,"Statt das gesamte Systemverhalten exakt vorauszuberechnen, plant ein System nur einen kurzen Horizont, handelt, beobachtet neu und passt an.","Ein Thermostat, der laufend nachregelt, statt einmalig die Temperaturkurve für den ganzen Tag festzulegen.",Steuerung; Regelungstechnik; Iteration,Gedämpfter harmonischer Oszillator; Ljapunov-Exponenten
Ljapunov-Exponenten / Chaostheorie,Physik / Mathematik,"Beschreibt, wie exponentiell schnell sich kleine Unterschiede in den Anfangsbedingungen eines chaotischen Systems aufschaukeln (Schmetterlingseffekt).",Wetterprognosen werden nach wenigen Tagen exponentiell unzuverlässiger.,Dynamische Systeme; Chaos; Prognose,Laplacescher Dämon; Model Predictive Control
Laplacescher Dämon,Philosophie / Physik,"Gedankenexperiment eines hypothetischen Intellekts, der bei Kenntnis aller Positionen und Kräfte im Universum die gesamte Zukunft berechnen könnte.","Kennt man jeden Atomzustand, wäre theoretisch jede zukünftige Bewegung determiniert (scheitert an Quantenmechanik/Chaos).",Determinismus; Pierre-Simon Laplace; Erkenntnistheorie,Ljapunov-Exponenten; Block Universe vs. Growing Block
Block Universe vs. Growing Block,Philosophie / Physik,"Debatte, ob Vergangenheit, Gegenwart und Zukunft gleichermaßen real existieren oder die Zukunft echtes offenes Potenzial darstellt.","Die Frage, ob ""morgen"" in irgendeinem physikalischen Sinne bereits existiert oder erst entsteht.",Zeitphilosophie; Relativitätstheorie; Raumzeit,Photonen-Eigenzeit; Laplacescher Dämon
Photonen-Eigenzeit,Physik,"Für Objekte, die sich mit Lichtgeschwindigkeit bewegen (Photonen), vergeht relativistisch gesehen exakt keine Eigenzeit (Nullgeodäte).",Aus Sicht eines Lichtteilchens vergeht zwischen Aussendung und Absorption keine Zeit.,Spezielle Relativitätstheorie; Raumzeit,Block Universe vs. Growing Block
